iter	Passed	Remaining
578	5847	4251
579	5857	4241
580	5869	4232
581	5880	4223
582	5890	4213
583	5900	4203
584	5909	4192
585	5919	4181
586	5928	4170
587	5938	4160
588	5947	4150
589	5958	4140
590	5967	4130
591	5977	4119
592	5988	4110
593	5998	4100
594	6009	4090
595	6019	4080
596	6028	4069
597	6037	4058
598	6046	4048
599	6056	4037
600	6067	4027
601	6076	4017
602	6086	4007
603	6096	3997
604	6106	3986
605	6116	3977
606	6127	3966
607	6137	3956
608	6147	3946
609	6157	3936
610	6167	3926
611	6177	3916
612	6187	3906
613	6197	3896
614	6207	3886
615	6218	3876
616	6228	3866
617	6238	3856
618	6249	3846
619	6260	3836
620	6270	3826
621	6280	3816
622	6290	3806
623	6300	3796
624	6309	3785
625	6319	3775
626	6329	3765
627	6340	3755
628	6350	3745
629	6362	3736
630	6372	3726
631	6382	3716
632	6392	3706
633	6402	3696
634	6413	3686
635	6424	3676
636	6434	3666
637	6444	3656
638	6456	3647
639	6466	3637
640	6476	3627
641	6487	3617
642	6496	3607
643	6507	3597
644	6517	3587
645	6528	3577
646	6538	3567
647	6548	3557
648	6558	3547
649	6568	3536
650	6578	3526
651	6590	3517
652	6601	3507
653	6611	3497
654	6621	3487
655	6631	3477
656	6641	3467
657	6651	3457
658	6661	3446
659	6671	3436
660	6681	3426
661	6692	3416
662	6702	3406
663	6712	3396
664	6722	3386
665	6733	3376
666	6742	3366
667	6752	3356
668	6762	3345
669	6772	3335
670	6782	3325
671	6791	3315
672	6802	3305
673	6812	3295
674	6822	3284
675	6833	3275
676	6843	3265
677	6853	3255
678	6865	3245
679	6875	3235
680	6886	3225
681	6898	3216
682	6908	3206
683	6920	3197
684	6930	3187
685	6940	3176
686	6952	3167
687	6963	3157
688	6973	3147
689	6983	3137
690	6993	3127
691	7003	3117
692	7014	3107
693	7024	3097
694	7034	3087
695	7045	3077
696	7056	3067
697	7067	3057
698	7077	3047
699	7087	3037
700	7100	3028
701	7110	3018
702	7121	3008
703	7133	2999
704	7145	2990
705	7157	2980
706	7168	2970
707	7180	2961
708	7191	2951
709	7203	2942
710	7214	2932
711	7226	2923
712	7237	2913
713	7248	2903
714	7261	2894
715	7271	2884
716	7281	2874
717	7293	2864
718	7303	2854
719	7312	2843
720	7322	2833
721	7333	2823
